trial_nr	onset	event_type	phase	response	nr_frames	condition	fix_color_changetime	onset_abs	duration
10	190.13728546599998	stim	1		90	left	4.786559087349746	256.83368744899997	0.750012285999901
11	190.88729775199988	iti	0		523	left	1.0726267690114473	257.58369973499987	4.358453250000139
11	194.60416900999996	response	0	b		left	1.0726267690114473	261.30057099299995	
11	195.24575100200002	stim	1		90	left	1.0726267690114473	261.942152985	0.7500111399999696
11	195.54585706499995	pulse	1	t		left	1.0726267690114473	262.24225904799994	
12	195.995762142	iti	0		552	left	4.275497904242027	262.692164125	4.600063321999869
12	196.87919900999998	response	0	b		left	4.275497904242027	263.57560099299997	
12	200.59582546399986	stim	1		90	left	4.275497904242027	267.29222744699985	0.7500142180001603
13	201.34583968200002	iti	0		567	left	3.70997759671686	268.042241665	4.725114261000044
13	202.79598256999986	response	0	b		left	3.70997759671686	269.49238455299985	
13	206.07095394300006	stim	1		90	left	3.70997759671686	272.76735592600005	0.7499849929999982
14	206.82093893600006	iti	0		773	right	3.881961155867651	273.51734091900005	6.441793127999972
14	209.82111423599997	response	0	b		right	3.881961155867651	276.51751621899996	
14	213.26273206400003	stim	1		90	right	3.881961155867651	279.959134047	0.750021740999955
15	214.012753805	iti	0		827	right	2.491909927517728	280.709155788	6.89180631399995
15	219.55468545099995	response	0	b		right	2.491909927517728	286.25108743399994	
15	220.90456011899994	stim	1		90	right	2.491909927517728	287.6009621019999	0.7499979520000579
16	221.654558071	iti	0		1164	left	1.2370729445173514	288.350960054	9.700190320000047
16	230.64701092000007	response	0	b		left	1.2370729445173514	297.34341290300006	
16	231.35474839100004	stim	1		90	left	1.2370729445173514	298.05115037400003	0.7500163099998645
17	232.1047647009999	iti	0		691	right	2.4609581801054317	298.8011666839999	5.758443486000033
17	235.83829303799996	response	0	b		right	2.4609581801054317	302.53469502099995	
17	237.54663933599988	pulse	0	t		right	2.4609581801054317	304.2430413189999	
17	237.86320818699994	stim	1		90	right	2.4609581801054317	304.5596101699999	0.7500175089999175
18	238.61322569599986	iti	0		501	left	3.2280893955349987	305.30962767899985	4.1751003660001516
18	240.24670143599985	response	0	b		left	3.2280893955349987	306.94310341899984	
18	242.788326062	stim	1		90	left	3.2280893955349987	309.484728045	0.7499882170000092
19	243.53831427900002	iti	0		608	left	1.5728148390877292	310.234716262	5.0667593989999204
19	248.60507367799994	stim	1		90	left	1.5728148390877292	315.3014756609999	0.7500089679999746
20	249.35508264599991	iti	0		1303	right	1.134891285488735	316.0514846289999	10.858543461999943
20	259.505390102	response	0	b		right	1.134891285488735	326.20179208499997	
20	260.21362610799986	stim	1		90	right	1.134891285488735	326.91002809099984	0.7500138610000704
21	260.9636399689999	iti	0		820	left	4.371272738921518	327.6600419519999	6.83346025600008
21	263.905465749	response	0	b		left	4.371272738921518	330.60186773199996	
21	267.797100225	stim	1		90	left	4.371272738921518	334.493502208	0.7500054249999266
22	268.54710564999993	iti	0		514	right	5.600709630039751	335.2435076329999	4.283417458000031
22	269.547710963	response	0	b		right	5.600709630039751	336.244112946	
22	272.83052310799997	stim	1		90	right	5.600709630039751	339.52692509099995	0.7499979219999204
23	273.5805210299999	iti	0		2160	right	3.503610034157992	340.2769230129999	18.000334828000177
23	279.54742274199987	pulse	0	t		right	3.503610034157992	346.24382472499985	
23	288.514252996	response	0	b		right	3.503610034157992	355.21065497899997	
23	291.58085585800006	stim	1		90	right	3.503610034157992	358.27725784100005	0.7500184289999652
24	292.33087428700003	iti	0		455	left	4.546955814954346	359.02727627	3.791730674999826
24	293.07265588000007	response	0	b		left	4.546955814954346	359.76905786300006	
24	296.12260496199985	stim	1		90	left	4.546955814954346	362.81900694499984	0.750010009000107
25	296.87261497099996	iti	0		538	left	3.8909471045173776	363.56901695399995	4.483428927999967
25	297.92277519599986	response	0	b		left	3.8909471045173776	364.61917717899985	
25	301.3560438989999	stim	1		90	left	3.8909471045173776	368.0524458819999	0.7500391170001421
26	302.10608301600007	iti	0		617	left	2.099616680044438	368.80248499900006	5.141716590999977
26	305.556228714	response	0	b		left	2.099616680044438	372.252630697	
26	307.24779960700005	stim	1		90	left	2.099616680044438	373.94420159000003	0.7500172029999703
27	307.99781681	iti	0		468	right	0.5376042049196139	374.694218793	3.900075033999883
27	311.748014271	response	0	b		right	0.5376042049196139	378.444416254	
27	311.8978918439999	stim	1		90	right	0.5376042049196139	378.5942938269999	0.7500663660000555
28	312.64795820999996	iti	0		740	right	4.819310713829165	379.34436019299994	6.166708989999961
28	314.59806823299994	response	0	b		right	4.819310713829165	381.2944702159999	
28	318.8146671999999	stim	1		90	right	4.819310713829165	385.5110691829999	0.7500494969999636
29	319.5647166969999	iti	0		371	right	2.0173603372059166	386.26111867999987	3.091691528000183
29	321.081491755	response	0	b		right	2.0173603372059166	387.777893738	
29	321.548152941	pulse	0	t		right	2.0173603372059166	388.244554924	
29	322.65640822500006	stim	1		90	right	2.0173603372059166	389.35281020800005	0.7500125979997847
30	323.40642082299985	iti	0		926	left	0.8190698667053282	390.10282280599984	7.716799972000217
30	330.83166275999986	response	0	b		left	0.8190698667053282	397.52806474299985	
30	331.12322079500007	stim	1		90	left	0.8190698667053282	397.81962277800005	0.750012450999975
31	331.87323324600004	iti	0		1073	right	5.673274390045696	398.569635229	8.941812691999985
31	335.66551319100006	response	0	b		right	5.673274390045696	402.36191517400005	
31	340.815045938	stim	1		90	right	5.673274390045696	407.511447921	0.7500228530000186
32	341.56506879100004	iti	0		932	right	1.344183799000877	408.26147077400003	7.766793361999817
32	348.4403090499999	response	0	b		right	1.344183799000877	415.13671103299987	
