trial_nr	onset	event_type	phase	response	nr_frames	condition	onset_abs	duration
47	138.98130702972412	stim	0		30	horizontal	315.0586838722229	0.24998188018798828
48	139.2312889099121	stim	0		30	horizontal	315.3086657524109	0.25000619888305664
49	139.48129510879517	stim	0		30	horizontal	315.55867195129395	0.24999284744262695
50	139.7312879562378	stim	0		30	horizontal	315.8086647987366	0.24993896484375
50	139.94806599617004	pulse	0	t		horizontal	316.0254428386688	
51	139.98122692108154	stim	0		30	horizontal	316.0586037635803	0.25011301040649414
52	140.23133993148804	stim	0		30	horizontal	316.3087167739868	0.24991202354431152
53	140.48125195503235	stim	0		30	horizontal	316.5586287975311	0.2499690055847168
53	140.53966093063354	response	0	b		horizontal	316.6170377731323	
54	140.73122096061707	stim	0		30	horizontal	316.80859780311584	0.2500460147857666
55	140.98126697540283	stim	0		30	horizontal	317.0586438179016	0.24999690055847168
55	141.0646939277649	pulse	0	t		horizontal	317.1420707702637	
56	141.2312638759613	stim	0		30	horizontal	317.3086407184601	0.2501261234283447
57	141.48138999938965	stim	0		30	horizontal	317.5587668418884	0.24986791610717773
58	141.73125791549683	stim	0		30	horizontal	317.8086347579956	0.2500150203704834
59	141.9812729358673	stim	0		30	horizontal	318.0586497783661	0.24999094009399414
59	142.17300391197205	pulse	0	t		horizontal	318.2503807544708	
60	142.2312638759613	stim	0		30	horizontal	318.3086407184601	0.25002408027648926
61	142.4812879562378	stim	0		30	horizontal	318.5586647987366	0.2499849796295166
62	142.7312729358673	stim	0		1800	blank	318.8086497783661	14.999990940093994
62	143.02294993400574	response	0	b		blank	319.1003267765045	
62	143.28235793113708	pulse	0	t		blank	319.35973477363586	
62	144.39794301986694	pulse	0	t		blank	320.4753198623657	
62	145.50638604164124	pulse	0	t		blank	321.58376288414	
62	146.6230230331421	pulse	0	t		blank	322.70039987564087	
62	147.15642094612122	response	0	b		blank	323.23379778862	
62	147.73136806488037	pulse	0	t		blank	323.80874490737915	
62	148.8396189212799	pulse	0	t		blank	324.9169957637787	
62	149.95631098747253	pulse	0	t		blank	326.0336878299713	
62	151.06469798088074	pulse	0	t		blank	327.1420748233795	
62	151.1074240207672	response	0	b		blank	327.184800863266	
62	152.17404794692993	pulse	0	t		blank	328.2514247894287	
62	153.28962206840515	pulse	0	t		blank	329.36699891090393	
62	153.70618605613708	response	0	b		blank	329.78356289863586	
62	154.39789009094238	pulse	0	t		blank	330.47526693344116	
62	155.51473188400269	pulse	0	t		blank	331.59210872650146	
62	156.62301588058472	pulse	0	t		blank	332.7003927230835	
62	157.2896659374237	response	0	b		blank	333.3670427799225	
63	157.7312638759613	stim	0		30	vertical	333.8086407184601	0.24990320205688477
63	157.73252296447754	pulse	0	t		vertical	333.8098998069763	
64	157.9811670780182	stim	0		30	vertical	334.05854392051697	0.2500889301300049
65	158.2312560081482	stim	0		30	vertical	334.308632850647	0.24991393089294434
66	158.48116993904114	stim	0		30	vertical	334.5585467815399	0.2499699592590332
67	158.73113989830017	stim	0		30	vertical	334.80851674079895	0.24963808059692383
67	158.8479700088501	pulse	0	t		vertical	334.9253468513489	
68	158.9807779788971	stim	0		30	vertical	335.0581548213959	0.2499709129333496
69	159.23074889183044	stim	0		30	vertical	335.3081257343292	0.24993109703063965
70	159.48067998886108	stim	0		30	vertical	335.55805683135986	0.25075697898864746
71	159.73143696784973	stim	0		30	vertical	335.8088138103485	0.24933791160583496
71	159.95587301254272	pulse	0	t		vertical	336.0332498550415	
72	159.98077487945557	stim	0		30	vertical	336.05815172195435	0.24998903274536133
72	160.14755010604858	response	0	b		vertical	336.22492694854736	
73	160.23076391220093	stim	0		30	vertical	336.3081407546997	0.250028133392334
74	160.48079204559326	stim	0		30	vertical	336.55816888809204	0.25010204315185547
